Ido_mp,UA_X,UA_Y,UA_Z,FA_X,FA_Y,FA_Z,H_X,H_Y,H_Z
5.6409554,5.22705946096219,3.15442327239848,5.74308817731508,18.1949757243374,-1.1824265491958,-45.9637645721413,-18.3941335353466,-8.65795323544341,-6.99563075773239
5.6752761,5.21650510336568,3.13202151154213,5.76895566552435,18.2011470182724,-1.18567237954668,-45.9639116520408,-18.3980875118789,-8.64646842181338,-6.98354043086533
5.7339103,5.20968883013847,3.10445405634303,5.8501909205088,18.206589289354,-1.20428784062711,-45.9884498268259,-18.4235642330919,-8.62126711137561,-6.96423991903251
5.7819744,5.18468279676864,3.12581845806933,5.8244440224715,18.1872795405175,-1.25562481537535,-46.0061323705877,-18.3974086737118,-8.57676747476413,-6.99411648180605
5.8142319,5.18838806407838,3.10762841819685,5.85652981495205,18.1861286051371,-1.24003402264592,-45.9965231183482,-18.4027811536361,-8.58038141837765,-6.99932311463364
5.8765994,5.1841724145124,3.06959631215678,5.89793884241665,18.1869554820984,-1.21666722642289,-45.9931836676292,-18.3973916689803,-8.58078321263149,-6.97897467410448
5.9224865,5.21830332075119,3.01248621051228,5.95550886213336,18.1800488657848,-1.18023429232763,-46.0034042436033,-18.3754720639015,-8.61528250787291,-6.95823029204016
5.9699086,5.22768118541688,2.9845331296176,6.0033396980552,18.1665072532153,-1.17463510647924,-45.9830196612461,-18.3626910106089,-8.5846409733527,-7.01070091865413
6.0308263,5.23421705784605,2.98902367553027,5.99186454066015,18.1955195484755,-1.16199538400922,-45.9769877407836,-18.3454553245702,-8.6055078928165,-7.00833884577533
6.0941477,5.25605070262355,3.00374362631872,5.95947514783699,18.2176623457448,-1.18006234710169,-45.9956477002661,-18.3628241625717,-8.60319206183493,-7.01951077158137
6.1403128,5.25835408621238,2.96609786965195,6.00683412875372,18.2157503646757,-1.14466432933997,-46.0102181632358,-18.3754690839522,-8.63201603451943,-6.98976929171967
6.1881668,5.28013775920282,2.90771441619855,6.10627404224968,18.1943632226956,-1.137643842881,-45.9929169267131,-18.3546017155423,-8.62876548565772,-7.01504713580247
6.2335496,5.2756867445997,2.89328416988715,6.1358427704342,18.2110365089869,-1.12976014147758,-45.9860293229672,-18.3993938823098,-8.63472758903566,-7.04694178233174
6.265101,5.27083143390468,2.8934476623789,6.11063175284549,18.2286876202645,-1.12346612008235,-45.9851056515906,-18.4261755050304,-8.65125319722318,-7.06985930096921
6.3274973,5.27959856024805,2.90064587182873,6.11004385466019,18.2318710610029,-1.11735135854337,-45.9840704131901,-18.4119908063361,-8.6354050297226,-7.11897597908594
6.3896049,5.28681180039549,2.9129166352316,6.09462957724474,18.276774237403,-1.10602161445483,-46.0390055165495,-18.4708179086144,-8.59632797231688,-7.42825049688535
6.4095208,5.30105055890005,2.92195672999909,6.06696472436869,18.2861135706923,-1.10258107676424,-46.0659508017356,-18.4777152232209,-8.64407917680664,-7.46497424572593
6.4535694,5.31093488321596,2.94729516640982,6.05587649370203,18.3191230499385,-1.10809506760375,-46.0828614031539,-18.5228047457561,-8.68688217152378,-7.48205616998517
6.4992432,5.32852286250399,2.9405085318928,6.06778650927092,18.3499085974981,-1.08053122843558,-46.0871526178638,-18.5379446129346,-8.84038359392983,-7.43930582493617
6.5308573,5.33205933896835,2.99862573990907,5.95708834333452,18.3524080434564,-1.09307027170289,-46.1096411324726,-18.546000943514,-8.92211041372589,-7.42239222107156
6.5633405,5.37246715114925,3.02367925617933,5.93548904482997,18.3395418081768,-1.11293062068727,-46.1150808474168,-18.5396315882681,-8.95710277552722,-7.42117800143573
6.6242509,5.39789235887979,3.05777442490792,5.88798097236477,18.3276840255258,-1.12952494949724,-46.1128039463645,-18.5396605039092,-8.97173825686674,-7.44787753688288
6.6711209,5.41805300545642,3.10001314759384,5.82070745032532,18.3707683332455,-1.11067081433698,-46.1277673943096,-18.5351851482953,-9.02508309869941,-7.44438183204995
6.7168004,5.42771871243569,3.13087624053554,5.80750274999683,18.4351490554725,-1.08065978824796,-46.1689488434976,-18.5851182874409,-9.06563734784973,-7.39669320334813
6.7629622,5.4412965736554,3.10615851570604,5.82991406763852,18.4704745409142,-1.0377702019396,-46.182499828141,-18.6104576211328,-9.07386543487338,-7.35881926845046
6.8102943,5.45907593317656,3.15343572911303,5.80286609785558,18.5232559890595,-0.971145435435648,-46.2226200264742,-18.6040974963296,-9.16894560688129,-7.30446317689472
6.8579072,5.49431334956585,3.19377914229924,5.76097310010496,18.5217306387089,-0.987048339131684,-46.2313066437074,-18.6430376846392,-9.19522000920646,-7.30258704720296
6.8891735,5.48965473971584,3.1908791179905,5.74752607474106,18.6133520477322,-0.758010810742325,-46.355927070087,-18.7025933966388,-9.35799756919843,-7.11098289534928
6.9235609,5.5153079604832,3.19772889377702,5.75388844329633,18.6406276914732,-0.771082170593433,-46.3550543629478,-18.7189692898425,-9.36185085107885,-7.10164748911372
6.9675403,5.51178259187987,3.21370084806502,5.73302440803206,18.6372072279106,-0.749296089451701,-46.3495171880748,-18.7232232094027,-9.41324444744992,-7.09140945009824
7.0135521,5.52316894007321,3.19759714924456,5.75834420316902,18.6059593198193,-0.751034072358719,-46.3187941627107,-18.6915913736166,-9.40685832641744,-7.12452552615378
7.060237,5.52530842700691,3.17996092773525,5.83645653293289,18.6617173157285,-0.701811205411047,-46.3767507014514,-18.7404017775997,-9.41650544290413,-7.06346618381528
7.1069389,5.52069143558191,3.19048592510354,5.85206152265609,18.6160180352155,-0.726983483688239,-46.3328191154436,-18.6571921851245,-9.37819235673071,-7.10589415939705
7.1540554,5.53190385291214,3.21841735474777,5.81784290609274,18.6215827443526,-0.709222964616024,-46.3692863537776,-18.6716746402392,-9.40505278018736,-7.07751909660318
7.2010486,5.51673494242599,3.27232007783258,5.76791889677708,18.6886264339287,-0.626648809658877,-46.4354032828307,-18.6953806644836,-9.4786033089073,-6.98430143621423
7.2496983,5.51769767581076,3.30610116589372,5.77885206291849,18.6899248393032,-0.586468501670997,-46.4732513010844,-18.6928273052933,-9.4824622797044,-6.94977060860766
7.2802964,5.52097842437909,3.29906153438729,5.79200147154892,18.7354590751628,-0.449956863981704,-46.5544911794654,-18.693510479195,-9.6083138422919,-6.8453614558451
7.3154662,5.4949115514645,3.35258494602721,5.75625029288096,18.751241059274,-0.435619919154846,-46.5846790554343,-18.6728926288776,-9.63098671748815,-6.7995485737664
7.3613611,5.49734090822847,3.35203777290382,5.7742450800586,18.7597144575543,-0.394567147863158,-46.6242375558159,-18.6720662605611,-9.6393140067202,-6.77848388842999
7.4049323,5.48847283997823,3.34819473953536,5.78694483243387,18.7489217751429,-0.303456044448691,-46.6285866722656,-18.6493217716055,-9.68913877713088,-6.76463635710009
7.451754,5.46416812191572,3.36091332282217,5.78743165042383,18.7732686154006,-0.298469788220263,-46.6688231738038,-18.6394489438987,-9.69121706507962,-6.7573691466126
